,Description,Neighborhood,Year
20,AGG. ASSAULT,WASHINGTON VILLAGE/PIGTOWN,2014
27,AGG. ASSAULT,FRANKFORD,2014
32,AGG. ASSAULT,GLEN,2015
34,AGG. ASSAULT,CEDMONT,2015
41,AGG. ASSAULT,OLIVER,2015
43,AGG. ASSAULT,CURTIS BAY,2015
46,AGG. ASSAULT,LAKELAND,2014
53,AGG. ASSAULT,CHARLES NORTH,2014
54,AGG. ASSAULT,MONDAWMIN,2014
57,AGG. ASSAULT,DUNBAR-BROADWAY,2014
62,AGG. ASSAULT,LUCILLE PARK,2015
67,AGG. ASSAULT,DOLFIELD,2015
83,AGG. ASSAULT,FRANKFORD,2014
92,AGG. ASSAULT,EAST BALTIMORE MIDWAY,2014
96,AGG. ASSAULT,MONDAWMIN,2014
102,AGG. ASSAULT,NEW SOUTHWEST/MOUNT CLARE,2014
104,AGG. ASSAULT,LOCH RAVEN,2014
106,AGG. ASSAULT,FELLS POINT,2015
111,AGG. ASSAULT,CARROLLTON RIDGE,2015
114,AGG. ASSAULT,MILLHILL,2015
129,AGG. ASSAULT,COPPIN HEIGHTS/ASH-CO-EAST,2014
156,AGG. ASSAULT,MONDAWMIN,2014
162,SHOOTING,CLIFTON PARK,2014
163,SHOOTING,EAST BALTIMORE MIDWAY,2014
169,AGG. ASSAULT,WASHINGTON VILLAGE/PIGTOWN,2014
187,AGG. ASSAULT,CHERRY HILL,2015
199,AGG. ASSAULT,PATTERSON PARK NEIGHBORHOOD,2015
205,AGG. ASSAULT,FRANKFORD,2015
218,AGG. ASSAULT,FALLSTAFF,2015
229,AGG. ASSAULT,MADISON-EASTEND,2014
234,AGG. ASSAULT,MCELDERRY PARK,2014
240,AGG. ASSAULT,FRANKFORD,2014
249,AGG. ASSAULT,NORTHWEST COMMUNITY ACTION,2014
255,AGG. ASSAULT,CYLBURN,2014
266,AGG. ASSAULT,UNIVERSITY OF MARYLAND,2015
269,AGG. ASSAULT,DUNBAR-BROADWAY,2015
288,AGG. ASSAULT,MADISON-EASTEND,2015
306,AGG. ASSAULT,COLDSTREAM HOMESTEAD MONTEBELLO,2015
308,AGG. ASSAULT,CARROLL PARK,2015
338,AGG. ASSAULT,EDGEWOOD,2015
345,AGG. ASSAULT,COPPIN HEIGHTS/ASH-CO-EAST,2014
352,AGG. ASSAULT,HILLEN,2014
359,AGG. ASSAULT,SHIPLEY HILL,2014
370,AGG. ASSAULT,KRESSON,2015
374,AGG. ASSAULT,MOUNT VERNON,2015
381,AGG. ASSAULT,SHIPLEY HILL,2015
384,AGG. ASSAULT,MCELDERRY PARK,2014
398,AGG. ASSAULT,HOWARD PARK,2014
403,AGG. ASSAULT,DORCHESTER,2015
418,AGG. ASSAULT,PENN NORTH,2015
424,AGG. ASSAULT,FRANKFORD,2015
425,AGG. ASSAULT,JONESTOWN,2015
432,AGG. ASSAULT,ROSEMONT EAST,2014
438,AGG. ASSAULT,HOWARD PARK,2014
453,AGG. ASSAULT,WAVERLY,2014
493,SHOOTING,EVERGREEN LAWN,2015
510,AGG. ASSAULT,EDNOR GARDENS-LAKESIDE,2015
511,AGG. ASSAULT,BRIDGEVIEW/GREENLAWN,2015
537,AGG. ASSAULT,DORCHESTER,2015
540,AGG. ASSAULT,HOWARD PARK,2015
542,AGG. ASSAULT,WASHINGTON VILLAGE/PIGTOWN,2014
550,AGG. ASSAULT,HAMILTON HILLS,2014
564,AGG. ASSAULT,INNER HARBOR,2015
565,SHOOTING,PARKVIEW/WOODBROOK,2015
567,SHOOTING,FOREST PARK,2015
576,AGG. ASSAULT,BROOKLYN,2015
578,AGG. ASSAULT,CEDONIA,2015
598,AGG. ASSAULT,FELLS POINT,2015
599,AGG. ASSAULT,CEDONIA,2015
601,AGG. ASSAULT,BELAIR-EDISON,2015
606,AGG. ASSAULT,BROADWAY EAST,2014
615,AGG. ASSAULT,PATTERSON PARK NEIGHBORHOOD,2014
616,SHOOTING,SHIPLEY HILL,2014
