,Neighborhood,AGG. ASSAULT,HOMICIDE,SHOOTING,All,Population
0,ABELL,135.0,3.0,7.0,145.0,975.0
1,ALLENDALE,415.0,37.0,37.0,489.0,3354.0
2,ARCADIA,87.0,2.0,15.0,104.0,1077.0
3,ARLINGTON,435.0,51.0,55.0,541.0,2163.0
4,ARMISTEAD GARDENS,261.0,5.0,7.0,273.0,3779.0
5,ASHBURTON,131.0,13.0,11.0,155.0,2243.0
6,AUCHENTOROLY-PARKWOOD,5.0,0.0,2.0,7.0,1597.0
7,BALTIMORE HIGHLANDS,685.0,26.0,48.0,759.0,3143.0
8,BARCLAY,464.0,36.0,53.0,553.0,2692.0
9,BARRE CIRCLE,39.0,0.0,1.0,40.0,300.0
10,BAYVIEW,209.0,3.0,1.0,213.0,2944.0
11,BEECHFIELD,202.0,17.0,15.0,234.0,4013.0
12,BELAIR-EDISON,1630.0,85.0,155.0,1870.0,14680.0
13,BELAIR-PARKSIDE,62.0,4.0,8.0,74.0,449.0
14,BELVEDERE,35.0,1.0,4.0,40.0,706.0
15,BEREA,543.0,40.0,81.0,664.0,3469.0
16,BETTER WAVERLY,452.0,21.0,18.0,491.0,2622.0
17,BEVERLY HILLS,34.0,0.0,0.0,34.0,637.0
18,BIDDLE STREET,193.0,18.0,25.0,236.0,935.0
19,BOLTON HILL,196.0,1.0,16.0,213.0,5034.0
20,BOYD-BOOTH,164.0,12.0,37.0,213.0,516.0
21,BREWERS HILL,75.0,2.0,3.0,80.0,2356.0
22,BRIDGEVIEW/GREENLAWN,319.0,16.0,34.0,369.0,1679.0
23,BROADWAY EAST,1042.0,90.0,176.0,1308.0,3376.0
24,BROENING MANOR,193.0,10.0,13.0,216.0,1971.0
25,BROOKLYN,1654.0,92.0,249.0,1995.0,9549.0
28,BUTCHERS HILL,5.0,0.0,0.0,5.0,2122.0
29,CALLAWAY-GARRISON,159.0,8.0,8.0,175.0,1582.0
30,CAMERON VILLAGE,97.0,5.0,4.0,106.0,1310.0
31,CANTON,353.0,8.0,10.0,371.0,12725.0
32,CANTON INDUSTRIAL AREA,134.0,3.0,6.0,143.0,108.0
33,CARE,215.0,10.0,16.0,241.0,1422.0
36,CARROLL-SOUTH HILTON,197.0,8.0,28.0,233.0,1241.0
37,CARROLLTON RIDGE,1111.0,92.0,166.0,1369.0,2318.0
38,CEDARCROFT,4.0,0.0,0.0,4.0,626.0
39,CEDMONT,188.0,5.0,11.0,204.0,2524.0
40,CEDONIA,193.0,12.0,17.0,222.0,3168.0
41,CENTRAL FOREST PARK,131.0,14.0,10.0,155.0,1097.0
42,CENTRAL PARK HEIGHTS,1152.0,90.0,155.0,1397.0,4339.0
43,CHARLES NORTH,523.0,12.0,41.0,576.0,1085.0
44,CHARLES VILLAGE,274.0,4.0,15.0,293.0,8749.0
45,CHERRY HILL,1347.0,47.0,100.0,1494.0,7647.0
46,CHESWOLDE,66.0,2.0,2.0,70.0,7613.0
47,CHINQUAPIN PARK,65.0,1.0,5.0,71.0,1247.0
49,COLDSPRING,67.0,3.0,2.0,72.0,1108.0
50,COLDSTREAM HOMESTEAD MONTEBELLO,1040.0,76.0,87.0,1203.0,5638.0
51,CONCERNED CITIZENS OF FOREST PARK,174.0,15.0,16.0,205.0,1141.0
52,COPPIN HEIGHTS/ASH-CO-EAST,388.0,37.0,55.0,480.0,1845.0
