,Neighborhood,Population,AGG. ASSAULT,HOMICIDE,SHOOTING,All,removeNB,Year
0,BEECHFIELD,4013.0,12,0,1,13,KEEP,2024
1,BELAIR-PARKSIDE,449.0,3,1,0,4,KEEP,2024
2,HARWOOD,1639.0,11,2,1,14,KEEP,2024
3,MILLHILL,1404.0,38,1,3,42,KEEP,2024
4,MORAVIA-WALTHER,978.0,2,0,1,3,KEEP,2024
5,MOUNT HOLLY,1304.0,10,1,0,11,KEEP,2024
6,OTTERBEIN,2677.0,11,0,1,12,KEEP,2024
7,AUCHENTOROLY-PARKWOOD,1597.0,5,0,2,7,KEEP,2024
8,PENN-FALLSWAY,2594.0,10,1,0,11,KEEP,2024
9,PIMLICO GOOD NEIGHBORS,858.0,9,1,2,12,KEEP,2024
10,PLEASANT VIEW GARDENS,671.0,19,0,1,20,KEEP,2024
11,ROSEMONT,2411.0,39,1,3,43,KEEP,2024
12,ROSEMONT HOMEOWNERS/TENANTS,1273.0,28,1,0,29,KEEP,2024
13,SAINT HELENA,617.0,5,0,1,6,KEEP,2024
14,SAINT JOSEPHS,1594.0,23,0,1,24,KEEP,2024
15,STONEWOOD-PENTWOOD-WINSTON,765.0,9,0,1,10,KEEP,2024
16,UNIVERSITY OF MARYLAND,602.0,22,1,0,23,KEEP,2024
17,UPTON,4817.0,117,10,13,140,KEEP,2024
18,WOODBOURNE HEIGHTS,1621.0,11,0,1,12,KEEP,2024
19,EDGEWOOD,1995.0,16,0,3,19,KEEP,2024
20,CARE,1422.0,18,0,1,19,KEEP,2024
21,CONCERNED CITIZENS OF FOREST PARK,1141.0,20,2,0,22,KEEP,2024
22,FALLSTAFF,4896.0,26,0,2,28,KEEP,2024
23,ABELL,975.0,15,0,6,21,KEEP,2024
24,ALLENDALE,3354.0,29,0,1,30,KEEP,2024
25,ARCADIA,1077.0,8,0,1,9,KEEP,2024
26,ARLINGTON,2163.0,36,2,6,44,KEEP,2024
27,ARMISTEAD GARDENS,3779.0,38,2,1,41,KEEP,2024
28,ASHBURTON,2243.0,11,0,2,13,KEEP,2024
29,BALTIMORE HIGHLANDS,3143.0,61,2,5,68,KEEP,2024
30,PATTERSON PARK NEIGHBORHOOD,5438.0,40,1,2,43,KEEP,2024
31,BEREA,3469.0,37,2,5,44,KEEP,2024
32,BIDDLE STREET,935.0,12,2,2,16,KEEP,2024
33,BOLTON HILL,5034.0,21,0,2,23,KEEP,2024
34,BOYD-BOOTH,516.0,8,0,2,10,KEEP,2024
35,BRIDGEVIEW/GREENLAWN,1679.0,26,1,0,27,KEEP,2024
36,BROADWAY EAST,3376.0,48,4,4,56,KEEP,2024
37,BROOKLYN,9549.0,84,1,15,100,KEEP,2024
38,CALLAWAY-GARRISON,1582.0,15,0,2,17,KEEP,2024
39,CANTON,12725.0,23,0,1,24,KEEP,2024
40,CARROLL-SOUTH HILTON,1241.0,17,0,1,18,KEEP,2024
41,CARROLLTON RIDGE,2318.0,75,3,6,84,KEEP,2024
42,CEDMONT,2524.0,13,0,3,16,KEEP,2024
43,CEDONIA,3168.0,10,1,0,11,KEEP,2024
44,CENTRAL FOREST PARK,1097.0,6,2,0,8,KEEP,2024
45,CENTRAL PARK HEIGHTS,4339.0,68,4,10,82,KEEP,2024
46,CHARLES NORTH,1085.0,29,1,3,33,KEEP,2024
47,CHERRY HILL,7647.0,83,5,9,97,KEEP,2024
48,CHESWOLDE,7613.0,6,1,1,8,KEEP,2024
49,ORCHARD RIDGE,1038.0,11,0,1,12,KEEP,2024
